 snd	    477.78	  DATA	35000	638
 snd	    477.80	  DATA	35000	638
 snd	    477.83	  DATA	35000	638
 snd	    477.86	  DATA	35000	638
 snd	    477.88	  DATA	35000	638
 snd	    477.91	  DATA	35000	638
 snd	    477.93	  DATA	35000	638
 snd	    477.96	  DATA	35000	638
 snd	    477.98	  DATA	35000	638
 snd	    478.01	  DATA	35000	638
 snd	    478.03	  DATA	35000	638
 snd	    478.06	  DATA	35000	638
 snd	    478.08	  DATA	35000	638
 snd	    478.10	  DATA	35000	638
 snd	    478.13	  DATA	35000	638
 snd	    478.15	  DATA	35000	638
 snd	    478.18	  DATA	35000	638
 snd	    478.20	  DATA	35000	638
 snd	    478.23	  DATA	35000	638
 snd	    478.25	  DATA	35000	638
 snd	    478.28	  DATA	35000	638
 snd	    478.30	  DATA	35000	638
 snd	    478.32	  DATA	35000	638
 snd	    478.35	  DATA	35000	638
 snd	    478.38	  DATA	35000	638
 snd	    478.40	  DATA	35000	638
 snd	    478.43	  DATA	35000	638
 snd	    478.45	  DATA	35000	638
 snd	    478.48	  DATA	35000	638
 snd	    478.50	  DATA	35000	638
 snd	    478.53	  DATA	35000	638
 snd	    478.55	  DATA	35000	638
 snd	    478.57	  DATA	35000	638
 snd	    478.60	  DATA	35000	638
 snd	    478.63	  DATA	35000	638
 snd	    478.65	  DATA	35000	638
 snd	    478.68	  DATA	35000	638
 snd	    478.70	  DATA	35000	638
 snd	    478.73	  DATA	35000	638
 snd	    478.75	  DATA	35000	638
 snd	    478.78	  DATA	35000	638
 snd	    478.81	  DATA	35000	638
 snd	    478.83	  DATA	35000	638
 snd	    478.86	  DATA	35000	638
 rcv	    478.77	   ACK	35638	0
 snd	    478.89	  DATA	35000	638
 snd	    478.92	  DATA	35000	638
 snd	    479.01	   FIN	35638	0
 rcv	    479.06	   ACK	35638	0
 rcv	    479.12	   ACK	35638	0
 rcv	    479.16	   ACK	35638	0
 rcv	    479.48	   ACK	35638	0
 rcv	    479.82	   ACK	35638	0
 rcv	    480.08	   ACK	35638	0
 rcv	    480.38	   ACK	35638	0
 rcv	    480.61	   ACK	35638	0
 rcv	    481.04	   ACK	35638	0
 rcv	    481.21	   ACK	35638	0
 rcv	    481.42	   ACK	35638	0
